word0,tone0,word1,tone1,path,length,tone,gl,answer,seq,neu,status,flipped
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/35B.wav,NA,35,NA,替补,27,5_35,test,no
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/35B-flipped.wav,NA,35,NA,替补,28,5_35,test,yes
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/36A.wav,NA,5,NA,铁板,29,5_35,test,no
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/36A-flipped.wav,NA,5,NA,铁板,30,5_35,test,yes
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/36B.wav,NA,5,NA,铁板,31,5_35,test,no
替补,35,铁板,5,dissertation_sound/exp2/test/01_F/36B-flipped.wav,NA,5,NA,铁板,32,5_35,test,yes
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/38A.wav,NA,42,NA,死罪,33,5_42,test,no
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/38A-flipped.wav,NA,42,NA,死罪,34,5_42,test,yes
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/38B.wav,NA,42,NA,死罪,35,5_42,test,no
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/38B-flipped.wav,NA,42,NA,死罪,36,5_42,test,yes
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/40A.wav,NA,5,NA,湿地,37,5_42,test,no
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/40A-flipped.wav,NA,5,NA,湿地,38,5_42,test,yes
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/40B.wav,NA,5,NA,湿地,39,5_42,test,no
死罪,42,湿地,5,dissertation_sound/exp2/test/01_F/40B-flipped.wav,NA,5,NA,湿地,40,5_42,test,yes
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/42A.wav,NA,35,NA,试纸,41,5_35,test,no
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/42A-flipped.wav,NA,35,NA,试纸,42,5_35,test,yes
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/42B.wav,NA,35,NA,试纸,43,5_35,test,no
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/42B-flipped.wav,NA,35,NA,试纸,44,5_35,test,yes
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/43B.wav,NA,5,NA,湿疹,45,5_35,test,no
试纸,35,湿疹,5,dissertation_sound/exp2/test/01_F/43B-flipped.wav,NA,5,NA,湿疹,46,5_35,test,yes
假设,42,价格,35,dissertation_sound/exp2/test/01_F/48A.wav,NA,42,NA,假设,47,35_42,test,no
假设,42,价格,35,dissertation_sound/exp2/test/01_F/48A-flipped.wav,NA,42,NA,假设,48,35_42,test,yes
假设,42,价格,35,dissertation_sound/exp2/test/01_F/48B.wav,NA,42,NA,假设,49,35_42,test,no
假设,42,价格,35,dissertation_sound/exp2/test/01_F/48B-flipped.wav,NA,42,NA,假设,50,35_42,test,yes
假设,42,价格,35,dissertation_sound/exp2/test/01_F/49A.wav,NA,35,NA,价格,51,35_42,test,no
假设,42,价格,35,dissertation_sound/exp2/test/01_F/49A-flipped.wav,NA,35,NA,价格,52,35_42,test,yes
假设,42,价格,35,dissertation_sound/exp2/test/01_F/49B.wav,NA,35,NA,价格,53,35_42,test,no
假设,42,价格,35,dissertation_sound/exp2/test/01_F/49B-flipped.wav,NA,35,NA,价格,54,35_42,test,yes
替身,35,体操,42,dissertation_sound/exp2/test/01_F/50A.wav,NA,35,NA,替身,55,35_42,test,no
替身,35,体操,42,dissertation_sound/exp2/test/01_F/50A-flipped.wav,NA,35,NA,替身,56,35_42,test,yes
替身,35,体操,42,dissertation_sound/exp2/test/01_F/50B.wav,NA,35,NA,替身,57,35_42,test,no
替身,35,体操,42,dissertation_sound/exp2/test/01_F/50B-flipped.wav,NA,35,NA,替身,58,35_42,test,yes
替身,35,体操,42,dissertation_sound/exp2/test/01_F/51A.wav,NA,42,NA,体操,59,35_42,test,no
替身,35,体操,42,dissertation_sound/exp2/test/01_F/51A-flipped.wav,NA,42,NA,体操,60,35_42,test,yes
替身,35,体操,42,dissertation_sound/exp2/test/01_F/51B.wav,NA,42,NA,体操,61,35_42,test,no
替身,35,体操,42,dissertation_sound/exp2/test/01_F/51B-flipped.wav,NA,42,NA,体操,62,35_42,test,yes
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/62A.wav,NA,35,NA,四季,63,5_35,test,no
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/62A-flipped.wav,NA,35,NA,四季,64,5_35,test,yes
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/62B.wav,NA,35,NA,四季,65,5_35,test,no
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/62B-flipped.wav,NA,35,NA,四季,66,5_35,test,yes
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/63A.wav,NA,5,NA,湿气,67,5_35,test,no
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/63A-flipped.wav,NA,5,NA,湿气,68,5_35,test,yes
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/63B.wav,NA,5,NA,湿气,69,5_35,test,no
四季,35,湿气,5,dissertation_sound/exp2/test/01_F/63B-flipped.wav,NA,5,NA,湿气,70,5_35,test,yes
