num,word0,tone0,word1,tone1,length,tone,gl,answer,seq,neu,status,flipped,path
49B.wav,假设,42,价格,35,NA,35,NA,价格,47,35_42,test,no,dissertation_sound\exp2\test\05_F\49B.wav
49B-flipped.wav,假设,42,价格,35,NA,35,NA,价格,48,35_42,test,yes,dissertation_sound\exp2\test\05_F\49B-flipped.wav
50A.wav,替身,35,体操,42,NA,35,NA,替身,49,35_42,test,no,dissertation_sound\exp2\test\05_F\50A.wav
50A-flipped.wav,替身,35,体操,42,NA,35,NA,替身,50,35_42,test,yes,dissertation_sound\exp2\test\05_F\50A-flipped.wav
50B.wav,替身,35,体操,42,NA,35,NA,替身,51,35_42,test,no,dissertation_sound\exp2\test\05_F\50B.wav
50B-flipped.wav,替身,35,体操,42,NA,35,NA,替身,52,35_42,test,yes,dissertation_sound\exp2\test\05_F\50B-flipped.wav
51A.wav,替身,35,体操,42,NA,42,NA,体操,53,35_42,test,no,dissertation_sound\exp2\test\05_F\51A.wav
51A-flipped.wav,替身,35,体操,42,NA,42,NA,体操,54,35_42,test,yes,dissertation_sound\exp2\test\05_F\51A-flipped.wav
51B.wav,替身,35,体操,42,NA,42,NA,体操,55,35_42,test,no,dissertation_sound\exp2\test\05_F\51B.wav
51B-flipped.wav,替身,35,体操,42,NA,42,NA,体操,56,35_42,test,yes,dissertation_sound\exp2\test\05_F\51B-flipped.wav
62A.wav,四季,35,湿气,5,NA,35,NA,四季,57,5_35,test,no,dissertation_sound\exp2\test\05_F\62A.wav
62A-flipped.wav,四季,35,湿气,5,NA,35,NA,四季,58,5_35,test,yes,dissertation_sound\exp2\test\05_F\62A-flipped.wav
62B.wav,四季,35,湿气,5,NA,35,NA,四季,59,5_35,test,no,dissertation_sound\exp2\test\05_F\62B.wav
62B-flipped.wav,四季,35,湿气,5,NA,35,NA,四季,60,5_35,test,yes,dissertation_sound\exp2\test\05_F\62B-flipped.wav
63A.wav,四季,35,湿气,5,NA,5,NA,湿气,61,5_35,test,no,dissertation_sound\exp2\test\05_F\63A.wav
63A-flipped.wav,四季,35,湿气,5,NA,5,NA,湿气,62,5_35,test,yes,dissertation_sound\exp2\test\05_F\63A-flipped.wav
63B.wav,四季,35,湿气,5,NA,5,NA,湿气,63,5_35,test,no,dissertation_sound\exp2\test\05_F\63B.wav
63B-flipped.wav,四季,35,湿气,5,NA,5,NA,湿气,64,5_35,test,yes,dissertation_sound\exp2\test\05_F\63B-flipped.wav
