word,spanish,english,path,transcription,tone,vowel,phonation,trial
yag,árbol,tree,image/p1.jpg,jà̰g,L,a,R,practice
lawa,ojo,eye,image/p2.jpg,lǎwàʔ,L,a,C,practice
chhit,huevo,egg,image/p3.jpg,ʒît,F,i,M,practice
beko',perro,dog,image/p4.jpg,bêkòʔ,L,o,C,practice
beza',zorro,fox,image/p5.jpg,bèzáʔ,H,a,C,practice
